station_id,Aluminium_2019,Aluminium_2020,Ammonium_2019,Ammonium_2020,Boron_2019,Boron_2020,Chloride_2019,Chloride_2020,Coli-like-bacteria-Colilert_2019,Coli-like-bacteria-Colilert_2020,Coli-like-bacteria_2019,Coli-like-bacteria_2020,Colony-count-at-22-C_2019,Colony-count-at-22-C_2020,Color-Pt-Co-unit_2019,Color-Pt-Co-unit_2020,Color-Pt/Co-scale_2019,Color-Pt/Co-scale_2020,Electrical-conductivity_2019,Electrical-conductivity_2020,Enterococci_2019,Enterococci_2020,Escherichia-coli-Colilert_2019,Escherichia-coli-Colilert_2020,Escherichia-coli_2019,Escherichia-coli_2020,Fluoride_2019,Fluoride_2020,Iron_2019,Iron_2020,Manganese_2019,Manganese_2020,Nitrate_2019,Nitrate_2020,Nitrite_2019,Nitrite_2020,Odour-dilution-level_2019,Odour-dilution-level_2020,Oxidability_2019,Oxidability_2020,Smell-ball-units_2019,Smell-ball-units_2020,Sodium_2019,Sodium_2020,Sulphate_2019,Sulphate_2020,Taste-ball-units_2019,Taste-ball-units_2020,Taste-dilution-degree_2019,Taste-dilution-degree_2020,Turbidity-NTU_2019,Turbidity-NTU_2020,pH _2019,pH _2020,compliance_2019,compliance_2020,compliance_2021
487,,,0.05,0.05,,,,,,,0.0,0.0,,,1.8,1.9,,,474.0,473.0,,,,,0.0,0.0,,,20.0,20.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,1.6,0.2,7.8,7.6,0,0,0
1555,,,0.05,0.05,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,465.0,483.0,,,,,0.0,0.0,,,20.0,20.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.3,7.1,0,0,0
205,,10.0,0.05,0.24,,0.1,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,448.0,359.0,,0.0,,,0.0,0.0,,0.1,20.0,21.0,10.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.8,7.7,0,0,0
1228,,,0.09,0.05,0.641,0.932,,,,,0.0,0.0,15.0,2.0,,,4.0,4.0,978.0,920.0,,,,,0.0,0.0,1.36,1.5,21.0,10.0,,,,,0.003,0.003,,,,,1.0,1.0,,,,,1.0,1.0,,,0.5,0.5,7.44,7.58,0,0,0
470,,,0.06,0.05,,,,,,,0.0,2.0,1.0,31.0,6.6,5.0,,,446.0,579.0,,,,,0.0,0.0,,,84.0,3500.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.2,44.0,7.7,8.0,0,1,0
614,,,0.12,0.13,,,,,,,0.0,0.0,97.0,300.0,,,3.0,3.0,500.0,505.0,0.0,,,,0.0,0.0,1.5,1.36,100.0,110.0,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,0.5,0.5,8.64,8.45,0,0,1
1420,,,,,,,,,0.0,0.0,,,53.0,15.0,,,4.0,4.0,240.0,213.0,,,0.0,0.0,,,,,49.0,53.0,5.0,5.0,,,,,1.0,2.0,,,,,,,,,,,1.0,2.0,1.0,1.0,7.5,8.0,0,0,0
188,,,0.23,,,,,,,,0.0,0.0,17.0,74.0,,,,,889.0,987.0,0.0,,,,0.0,0.0,,,250.0,280.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.5,0.5,7.45,7.4,1,1,0
1286,,50.0,0.2,0.23,,0.091,,6.5,,0.0,0.0,,,0.0,,,6.0,4.2,640.0,638.0,,0.0,,0.0,0.0,,,0.52,240.0,150.0,,36.0,,0.04,,0.003,,,,1.8,,,,15.0,,1.1,,,,,0.72,0.5,7.5,7.7,1,0,1
736,,,0.05,,,,,,,,0.0,0.0,33.0,26.0,,,9.0,11.0,835.0,822.0,,,,,0.0,0.0,0.79,1.07,82.0,68.0,5.0,,,,,,,,2.1,,1.0,1.0,48.2,,44.0,,1.0,1.0,,,0.5,0.5,7.53,7.26,0,0,0
495,,,0.05,0.05,,,,,,,0.0,0.0,,0.0,2.4,2.6,,,411.0,414.0,,,,,0.0,0.0,,,21.0,20.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.2,0.2,7.7,7.6,0,0,0
1417,,,,,,,,,0.0,0.0,,0.0,14.0,37.0,,,3.0,3.0,368.0,365.0,0.0,0.0,0.0,0.0,,0.0,,,29.0,50.0,5.0,13.0,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,1.0,1.0,7.8,8.1,0,0,0
169,5.0,5.0,0.29,0.23,0.277,7.7,16.0,10.0,,,0.0,0.0,11.0,12.0,6.4,5.2,,,536.0,550.0,0.0,0.0,,,0.0,0.0,1.09,1.09,55.0,45.0,20.0,20.0,1.0,0.65,0.005,0.005,,,0.93,0.96,0.0,0.0,23.0,26.0,13.0,13.0,0.0,0.0,,,0.3,0.4,8.1,8.2,0,1,0
1526,,,0.16,0.06,,,,13.5,0.0,,,0.0,,,5.0,5.0,,,514.0,566.0,,,0.0,,,0.0,,0.61,42.0,228.0,,9.5,0.67,3.56,0.039,0.068,,,,0.57,0.0,0.0,,10.0,,42.7,0.0,0.0,,,,,7.68,7.88,0,1,0
1938,,,0.05,,,,,,,,0.0,0.0,5.0,0.0,,,0.0,0.0,293.0,268.0,,,,,0.0,0.0,,,,136.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.1,1.0,7.6,7.5,0,0,0
286,10.0,,0.05,,0.3,,50.0,,,,0.0,,,,,,0.0,0.0,284.0,323.0,,,,,0.0,,1.2,1.1,20.0,,10.0,,1.0,,0.002,,1.0,1.0,0.7,,,,37.0,,8.8,,,,1.0,1.0,1.0,1.0,7.1,7.5,0,0,0
990,5.0,5.0,0.05,,0.311,0.274,50.0,46.0,0.0,0.0,,,29.0,8.0,,,2.0,2.0,503.0,498.0,0.0,0.0,0.0,0.0,,,0.62,0.7,28.0,125.0,5.0,5.0,0.48,0.52,0.01,0.01,2.0,2.0,1.2,0.96,,,48.4,43.1,7.0,5.0,,,2.0,2.0,4.6,1.0,7.7,7.9,0,0,0
823,4.0,5.0,0.2,0.13,0.211,0.25,22.0,16.0,0.0,1.0,,,21.0,17.0,,,3.0,3.0,556.0,854.0,0.0,0.0,0.0,0.0,,,0.71,0.71,98.0,95.0,24.0,53.7,0.76,0.59,0.01,0.01,2.0,4.0,1.3,1.2,,,22.9,23.1,13.0,15.0,,,2.0,4.0,1.0,1.1,7.4,7.8,0,1,0
866,4.0,,0.05,,0.075,,16.0,,0.0,0.0,,,24.0,0.0,,,4.0,4.0,559.0,665.0,0.0,,0.0,0.0,,,0.44,,21.0,23.0,2.0,,0.56,,0.01,,4.0,1.0,1.7,,,,10.7,,5.0,,,,4.0,1.0,3.3,1.0,7.3,7.4,0,0,0
1318,,,0.05,,0.371,0.294,,,,,0.0,0.0,76.0,6.0,,,5.0,7.0,767.0,464.0,,,,,0.0,0.0,1.91,1.16,40.0,54.0,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,0.5,0.5,7.6,7.24,1,0,0
1441,,,,,,,,,,,0.0,0.0,80.0,24.0,,,3.0,3.0,573.0,630.0,,,,,0.0,0.0,0.57,,120.0,30.0,,,,,,,,,,,1.0,2.0,,,,,1.0,1.0,,,0.5,0.5,7.83,7.73,0,0,0
774,,,,,,,,,,,0.0,0.0,10.0,6.0,,,0.0,0.0,316.0,316.0,,,,,0.0,0.0,,,20.0,20.0,10.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.7,7.5,0,0,0
824,,,0.05,,,,,,0.0,3.0,,,0.0,10.0,,,2.0,2.0,561.0,589.0,,,0.0,0.0,,,,,25.0,20.0,10.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.5,7.7,0,1,0
831,,,0.05,,,,,,0.0,0.0,,,4.0,0.0,,,2.0,2.0,804.0,814.0,,,0.0,0.0,,,,,14.0,20.0,5.0,5.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.5,7.5,0,0,0
1008,,,,,,,,,0.0,1.0,,,4.0,14.0,,,2.0,2.0,570.0,565.0,,,,0.0,,,,,18.0,76.0,5.0,15.0,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,1.0,1.0,7.6,8.0,0,1,0
615,,20.0,,0.041,,0.26,,15.0,,0.0,0.0,,0.0,0.0,,,5.0,6.1,565.0,571.0,,0.0,,0.0,0.0,,,1.4,10.0,41.0,,4.8,,0.83,,0.003,,,,1.0,,,,39.0,,2.7,,,,,0.5,0.63,7.8,7.6,0,0,0
1091,,,,0.08,,,,,3.0,0.0,,,300.0,490.0,,,2.0,2.0,648.0,610.0,,0.0,0.0,0.0,,,,,,17.0,,11.0,,,,0.02,2.0,16.0,,0.88,,,,62.4,,3.0,,,2.0,16.0,1.0,2.0,7.9,8.1,1,0,1
548,,,0.03,0.03,,,,,,,0.0,0.0,23.0,,5.0,5.0,,,457.0,451.0,,,,,0.0,0.0,,,60.0,45.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.3,0.3,7.5,7.4,0,0,0
713,,,,,,,,,,,0.0,0.0,14.0,19.0,,,3.0,3.0,239.0,189.0,,,,,0.0,0.0,1.22,1.03,20.0,,,,,,,,,,,,1.0,1.0,,,,,2.0,2.0,,,0.5,0.5,8.3,7.71,0,0,0
1017,,,0.05,,,,,,,0.0,0.0,,37.0,44.0,,,6.0,8.0,710.0,761.0,0.0,,,0.0,0.0,,,,185.0,395.0,36.0,,,,,,1.0,2.0,1.6,,,,4.7,,40.0,,,,1.0,2.0,1.8,3.7,7.3,7.5,0,1,0
513,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,382.0,299.0,,,,,0.0,0.0,,,20.0,20.0,10.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.5,7.3,0,0,0
491,,,0.21,0.24,,,,,,,0.0,0.0,,,,,13.3,12.3,448.0,440.0,0.0,,,,0.0,0.0,,,,81.2,,30.0,,,,,1.0,2.0,,,,,,,2.8,,,,1.0,2.0,0.7,0.5,7.47,7.46,0,0,1
1277,5.0,,0.17,0.05,,,27.0,,0.0,0.0,,,27.0,,,,6.0,2.0,647.0,594.0,,,0.0,0.0,,,,,185.0,20.0,26.5,5.0,0.45,,,,2.0,2.0,1.7,,,,31.5,,16.0,,,,2.0,2.0,2.4,1.0,7.6,7.9,0,0,0
1028,,,0.29,0.35,,,,5.0,0.0,0.0,,,24.0,19.0,,,2.0,2.1,320.0,287.0,,0.0,0.0,0.0,,,,,42.0,25.0,9.0,11.0,,,,,2.0,2.0,,1.3,,,,6.4,,,,,2.0,2.0,1.3,1.0,7.8,8.0,0,0,0
542,,,,,,,,,,,0.0,0.0,44.0,0.0,5.0,5.0,,,1062.0,872.0,,,,,0.0,0.0,,,10.0,10.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.3,0.3,6.5,7.5,0,0,0
1027,,,0.73,0.14,,,,243.0,0.0,,,,300.0,,,,11.0,8.2,1683.0,1197.0,,,0.0,,,,,,43.0,46.0,47.0,13.0,,,,,4.0,2.0,,,,,,,,,,,4.0,2.0,1.0,1.0,7.7,8.0,1,0,1
2311,,,0.22,,,,,,0.0,0.0,,,4.0,3.0,,,2.0,3.0,457.0,725.0,,,0.0,0.0,,,,,150.0,20.0,23.0,5.0,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,1.6,1.0,7.6,7.4,0,0,0
297,,,0.05,0.05,,,,,,,0.0,0.0,0.0,12.0,,,0.0,0.0,498.0,497.0,,,,,0.0,0.0,,,20.0,20.0,10.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.3,7.4,0,0,0
1117,,,,,,,,,0.0,0.0,,,0.0,0.0,,,4.0,4.0,716.0,810.0,,,0.0,0.0,,,,,,28.0,,5.0,,,,,1.0,4.0,,,,,,,,,,,1.0,4.0,1.0,1.0,7.5,7.1,0,0,0
1409,,,0.08,,,,,,0.0,0.0,,0.0,4.0,158.0,0.0,,,5.0,448.0,473.0,0.0,,0.0,0.0,,0.0,,,,160.0,,,,,,,,2.0,,,0.0,0.0,,,,,0.0,0.0,,2.0,0.64,1.3,7.8,7.9,0,0,0
355,,,0.05,0.05,,,,,,,0.0,0.0,4.0,0.0,,,0.0,0.0,379.0,403.0,,,,,0.0,0.0,,,20.0,20.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.3,7.4,0,0,0
805,,5.0,,0.29,,0.263,,17.0,0.0,0.0,,,4.0,3.0,,,13.0,7.0,570.0,597.0,,0.0,0.0,0.0,,,,0.66,2000.0,1353.0,,61.6,,0.5,,0.01,4.0,2.0,,3.1,,,,30.1,,3.0,,,4.0,2.0,10.0,5.2,7.7,7.7,1,1,0
527,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,491.0,500.0,,,,,0.0,0.0,,,428.0,20.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.4,1.0,7.5,7.5,1,0,0
1074,,,0.05,0.05,,,,,,,0.0,0.0,,0.0,5.0,5.0,,,338.0,379.0,0.0,0.0,,,0.0,,,,43.0,56.0,0.5,0.5,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,7.98,7.96,0,0,0
562,,,,0.03,,,,,,,0.0,0.0,0.0,24.0,5.0,5.0,,,152.8,113.0,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,30.0,21.0,0.0,0.0,,,1.3,0.3,6.5,6.6,0,0,0
629,,,,,,,,,,,0.0,0.0,0.0,7.0,,,0.0,0.0,372.0,488.0,,,,,0.0,0.0,,,115.0,20.0,541.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.6,7.4,1,0,0
444,,,0.05,0.05,,,23.0,,0.0,,100.0,0.0,300.0,26.0,,,5.0,0.0,758.0,647.0,0.0,0.0,0.0,,0.0,0.0,0.24,,460.0,20.0,11.0,10.0,19.3,,0.01,,4.0,1.0,0.96,1.1,,,12.3,,34.0,,,,4.0,,2.0,1.0,7.6,7.1,1,0,0
399,10.0,,0.05,,0.2,,3.2,,,,0.0,0.0,16.0,0.0,,,0.0,0.0,387.0,466.0,0.0,,,,0.0,0.0,0.6,,20.0,20.0,6.0,,1.0,,0.002,,1.0,1.0,1.1,,,,30.0,,8.8,,,,1.0,1.0,1.0,1.0,7.7,7.7,0,0,0
590,,,0.14,0.15,,,,,,,0.0,0.0,,2.0,1.5,1.5,,,421.0,428.0,,,,,0.0,0.0,,,122.0,166.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.2,0.5,7.7,7.6,0,0,0
1099,,5.0,,0.12,,0.5,,57.0,0.0,3.0,,,300.0,26.0,,,11.0,12.0,579.0,623.0,,0.0,0.0,0.0,,,,1.2,,196.0,,4.0,,0.5,,0.01,2.0,2.0,,2.6,,,,68.0,,8.0,,,2.0,2.0,1.0,1.0,7.6,7.9,0,1,0
